Experiment_id,Online_id,Lastfm_tag,VAQ_Estimate,VAQ_Online,AVG_Valence,STD_Valence,Q1_Valence,Q2_Valence,Q3_Valence
1,2,fun,1,1,6.8571,1.3015,4.0,6.5,8.0
2,7,exciting,1,1,5.9286,2.0516,6.0,6.0,7.1667
11,9,happy,1,2,7.1429,1.1867,3.0,7.5,8.0
3,15,joy,1,1,6.9333,2.3228,6.0,7.0,9.0
12,17,cheerful,2,2,5.9286,1.7914,2.0,6.0,7.0
13,24,love,2,2,6.5714,1.3997,1.9167,7.0,8.0
14,27,happy,2,2,7.0667,1.436,3.0,7.0,8.8333
15,29,lovely,2,2,6.4667,1.3597,2.1667,7.0,7.8333
22,31,sentimental,3,3,4.2,1.4236,2.0,4.0,5.0
23,33,melancholy,3,3,3.3333,1.1926,3.1667,3.0,4.0
16,37,sentimental,3,2,5.1333,1.0873,1.0,5.0,6.0
24,41,sad,3,3,3.3333,1.3499,2.0,3.0,4.8333
25,44,depressing,3,3,4.2,1.6411,3.0,4.0,6.0
26,45,mellow,3,3,4.2,1.7963,2.0,4.0,4.8333
31,51,terrible,4,4,3.6667,1.4907,4.1667,3.0,5.0
32,53,shock,4,4,4.6667,1.4907,6.1667,5.0,5.0
33,56,hate,4,4,3.9333,2.0483,4.1667,3.0,5.8333
4,62,,1,1,7.0,1.7127000000000001,5.0,7.0,8.8333
5,63,,1,1,7.2,1.7588000000000001,7.0,7.0,9.0
6,70,,1,1,6.1333,1.4996,5.1667,6.0,7.0
7,72,,1,1,6.6667,1.8856,6.0,7.0,8.6667
17,76,,2,2,6.0667,1.6111,2.0,6.0,7.0
18,80,,2,2,7.1333,1.4079,2.1667,7.0,8.0
19,83,,2,2,7.5333,1.2579,3.1667,8.0,8.0
8,84,,2,1,7.2667,1.34,5.0,7.0,8.8333
20,85,,2,2,6.2667,1.1813,3.0,6.0,6.8333
9,88,,2,1,7.0667,1.8427,6.0,7.0,8.0
27,95,,3,3,4.3333,2.0221,2.0,5.0,5.8333
28,96,,3,3,3.25,1.299,1.4167,3.0,4.0
29,97,,3,3,3.4375,1.3214,2.0,3.5,4.0
30,98,,3,3,3.2,1.7588000000000001,2.0,3.0,4.0
34,107,,4,4,4.7857,1.9339,5.9167,5.0,6.0833
21,108,,4,3,4.1429,1.807,3.0,4.0,5.0
35,111,,4,4,3.5333,1.8927,4.3333,3.0,4.8333
36,112,,4,4,4.9333,2.294,7.0,5.0,6.8333
37,113,,4,4,3.2667,1.6111,5.1667,4.0,4.0
38,115,,4,4,3.2667,2.1124,4.1667,3.0,4.0
39,116,,4,4,3.4667,2.3343,3.1667,3.0,4.8333
10,118,,4,1,5.8667,2.1868,6.0,6.0,8.5
40,120,,4,4,3.7333,2.594,4.0,3.0,4.8333
